Title,Company Name,Location,Salary,Rating,Descriptions
Business Analyst,Percetakan Nasional Malaysia Berhad,Kuala Lumpur,,4.2,"Identify problems within a business, including through using data modelling techniques. Evaluating business processes, anticipating requirements, uncovering…"
Community Management Intern,Supahands,Kuala Lumpur,,3.5,"A Community Manager is a marketer, storyteller, social media strategist, community builder, blogger, customer service rep, problem-solver, data analyst and…"
Business Analyst,Brandt International,Kuala Lumpur,,3.5,"Work on data from multiple data sources to perform analysis, product management reporting (preferably experience in statistical tools)."
Senior Analyst – Internal Controls (6 months contract),Kognitiv Corporation,Kuala Lumpur,,,"Reporting to the Global Director – Governance, Risk and Control, this role will be a key member of the team and will be responsible for delivering Internal…"
Data Acquisition Manager,IDC Tech,,"RM 4,500 a month",,"Lead a team data acquisition analyst to ensure data acquisition with various data suppliers, conducts investigations into data discrepancies and disputes from…"
Business Analyst,NZ SOFTLETS SDN BHD,Kuala Lumpur,,,"Strong understanding of data modeling, pros and cons and best practices. Deliver: Track the implementation progress, assess and reinforce quality, validate the…"
"FP&A Analyst, Trading Countries",Ingredion,Kuala Lumpur,,,Assist the onsite FP&A counterpart by fulfilling any data requirements. Collaborate with the business stakeholders for data gathering and requirements alignment…
Developer/Programmer Analyst,TENTACLE SSO SDN.BHD.,Kuala Lumpur,,,"SAP Netweaver Gateway Services, OData/JSON/RESTFUL data models, Deep insert, function imports, paginations. Digital marketing and Mobility 4."
Business Analyst,SWIFT,Kuala Lumpur,,3.3,SWIFT is seeking for a candidate to join as a Business Analyst working on massive amount of data with a team of strong analysts to derive value for management's…
Analyst – Invoice Processing (German Speaker),Pall,Kuala Lumpur,,,Indexing/data entry of invoices in Oracle. Ensure all email query managed and responded as per KPI and within SLA. 3-way matching invoice process in Oracle.
"Analyst, Source-To-Pay Centre of Excellence",Prudential,Kuala Lumpur,,3.9,"Master the relationship between the configuration and master data setup for each business unit. Support each business unit related to system configuration, user…"
QA- Mandarin/Cantonese/English,Sutherland,Bangsar South,,3.6,"Have strong analytical skills; be able to interpret data, identify trends, and make suggestions for improvements. Be able to work in MS Office."
Media Analyst (Chinese Proficiency),Meltwater,Kuala Lumpur,,,"A Critical thinker – have the skills to derive meaningful conclusions by looking at numbers, trends, reading data and results."
"Account Manager, Large Customer Sales",Google,Kuala Lumpur,,4.3,"Report data internally and manage deliverables with the leader of your vertical. Effective analytical skills, with the ability to identify solutions and…"
Social Media Specialist,Scellus,,,,"Ability to analyze data/metrics and create reports. As a Social Media Specialist, you will be responsible for developing and implementing our Social Media…"
Senior Costing Analyst,VF Corporation,Mid Valley City,"RM 6,000 - RM 8,000 a month",,"Experience working with large data sets. Operations: Manage seasonal costing activities, support with information for negotiation with vendors and cost related…"
Finance Advisory - P2P Transformation Senior Analyst,Worley,Kuala Lumpur,,3.9,"Experienced in communicating complex issues and data concepts to people, liaising with operations and to improve technical expertise regarding products offered,…"
Senior Marketing Technology Business Analyst,British American Tobacco,Kuala Lumpur,,4.4,"Practical experience using BI/Data/Analytics including data modelling, translating data into usable value-added information."
TECHNICAL LEAD ANALYST - JAVA,ARCTIQUATOR SDN BHD,Kuala Lumpur,"RM 6,000 - RM 7,999 a month",,"Takes a lead role in the development, implementation, and maintenance of the data recovery aspects of the organizations disaster recovery plan."
Business Analyst- Software Banking,NCR,Kuala Lumpur,,3.6,"Responsibilities include providing ongoing analysis of customer and prospect business requirements, interpretation and analysis of data trials, identifying…"
"Data/Senior Analyst (SQL, Python, Power BI, Tableau, Data St...",foodpanda Malaysia,Kuala Lumpur,,3.8,Excellent data visualisation and storytelling. Consult stakeholders on data methodologies and workings. Knowledgeable in data science and statistical modelling…
